latitude,longitude,temperature_celsius,wind_mph,wind_kph,pressure_mb,humidity,cloud,feels_like_celsius
34.52,69.18,26.6,8.3,13.3,1012.0,24,30,25.3
41.33,19.82,19.0,6.9,11.2,1012.0,94,75,19.0
36.76,3.05,23.0,9.4,15.1,1011.0,29,0,24.6
42.5,1.52,6.3,7.4,11.9,1007.0,61,100,3.8
-8.84,13.23,26.0,8.1,13.0,1011.0,89,50,28.7
17.12,-61.85,26.0,5.6,9.0,1013.0,84,25,28.2
-34.59,-58.67,8.0,2.2,3.6,1014.0,93,0,7.1
40.18,44.51,19.0,4.3,6.8,1017.0,40,25,19.0
-35.28,149.22,9.0,2.5,4.0,1027.0,87,0,9.1
48.2,16.37,16.0,12.5,20.2,1013.0,63,75,16.0
40.4,49.88,17.0,4.3,6.8,1020.0,68,50,17.0
25.08,-77.35,27.0,16.1,25.9,1012.0,89,50,31.1
26.24,50.58,36.0,13.6,22.0,1007.0,33,0,45.4
23.72,90.41,38.4,4.3,6.8,1006.0,31,30,41.3
13.1,-59.62,28.0,16.1,25.9,1012.0,74,50,31.9
53.9,27.57,17.0,11.9,19.1,1027.0,29,0,17.0
50.83,4.33,15.0,3.8,6.1,1003.0,94,50,14.6
17.25,-88.77,26.0,4.3,6.8,1007.0,89,94,29.6
6.48,2.62,28.0,15.0,24.1,1012.0,79,75,31.2
27.48,89.6,18.2,7.2,11.5,1012.0,50,77,18.2
-19.04,-65.26,12.3,2.2,3.6,1010.0,77,10,12.3
43.85,18.38,19.0,2.2,3.6,1012.0,64,25,19.0
-24.65,25.91,22.0,4.3,6.8,1028.0,43,0,22.6
-2.08,-58.17,23.1,2.5,4.0,1009.0,98,100,25.7
4.88,114.93,32.0,6.9,11.2,1006.0,84,75,39.5
42.68,23.32,12.0,12.5,20.2,1021.0,77,100,10.9
12.37,-1.52,32.0,6.9,11.2,1011.0,67,50,34.2
-3.38,29.36,21.1,2.2,3.6,1016.0,66,86,21.1
-24.37,46.45,27.4,10.1,16.2,1020.0,44,5,27.6
14.93,-23.51,22.0,9.4,15.1,1014.0,69,75,24.5
11.55,104.92,38.0,6.9,11.2,1005.0,45,50,42.4
3.87,11.52,25.0,2.2,3.6,1014.0,78,25,27.0
45.42,-75.7,12.0,9.4,15.1,1011.0,71,50,11.1
4.37,18.58,28.4,4.7,7.6,1013.0,60,7,30.3
12.11,15.05,37.2,8.9,14.4,1010.0,27,2,37.9
-33.45,-70.67,1.0,4.3,6.8,1019.0,93,0,0.3
39.93,116.39,29.0,9.4,15.1,1001.0,22,0,26.9
43.32,24.7,15.9,8.7,14.0,1020.0,62,100,15.9
-11.7,43.24,27.5,14.5,23.4,1015.0,73,70,30.4
-4.26,15.28,29.6,2.7,4.3,1012.0,66,14,33.3
9.97,-84.08,21.0,2.2,3.6,1016.0,100,75,21.0
45.8,16.0,16.0,9.4,15.1,1012.0,82,75,16.0
23.13,-82.36,26.0,4.3,6.8,1012.0,84,0,28.7
35.17,33.37,25.0,5.6,9.0,1018.0,39,25,25.1
